GameNum,Capablanca,Alekhine,Capablanca_score
1,48.2,35.1,0.0
2,2.8,2.9,0.5
3,20.9,41.1,1.0
4,3.6,3.6,0.5
5,1.5,0.9,0.5
6,5.8,7.5,0.5
7,6.2,30.3,1.0
8,1.6,3.8,0.5
9,1.3,1.0,0.5
10,0.8,0.3,0.5
11,19.8,15.5,0.0
12,31.7,7.1,0.0
13,1.1,3.1,0.5
14,9.4,10.1,0.5
15,1.9,4.4,0.5
16,17.0,13.5,0.5
17,5.8,5.3,0.5
18,7.9,12.5,0.5
19,10.7,8.0,0.5
20,2.9,4.6,0.5
21,32.8,10.7,0.0
22,8.3,10.8,0.5
23,10.4,4.5,0.5
24,9.9,13.3,0.5
25,10.5,12.5,0.5
26,4.1,3.6,0.5
27,14.8,35.0,0.5
28,4.8,5.4,0.5
29,7.0,20.0,1.0
30,1.9,3.2,0.5
31,24.1,23.1,0.5
32,16.3,8.8,0.0
33,11.9,10.1,0.5
34,21.4,13.0,0.0
